lab,trial_type,looking_time
ldlottawa,IDS,5.4067
babylabpotsdam,ADS,15.337
chosunbaby,IDS,4.119
bcrlunlv,training,10.47
babylabkingswood,ADS,0.0
babylabuclajohnson,ADS,4.65
lcdfsu,test-IDS,330.0
bllumanitoba,ADS,5.103
lcduleeds,ADS,0.0
infantlanglabutk,IDS8,15440.0
babylingoslo,ADS,0.0
minddevlabbicocca,ADS,0.0
infantllmadison,ADS,4.838
kokuhamburg,IDS,2.05
babylabpotsdam,ADS,7.928
bllumanitoba,ADS,7.007
babylabutrecht,ADS,6.465153
wsigoettingen,ADS,4.84
nusinfantlanguagecentre,training,11.57
nusinfantlanguagecentre,training,1.52
langlabucla,training,9.455
bounbcl,IDS,5.16
callab,ADS,17.093505859375
bchdosu,IDS,2.256
pocdnorthwestern,ADS,1.352
weescienceedinburgh,ADS,15.99
bcrlunlv,IDS,
purdueinfantspeech,IDS,
babylabpotsdam,IDS,5.922
babylabshimane,ADS,0.0
cfnuofn,IDS,15.59
babylabnijmegen,ADS,2.85
infantllmadison,ADS,
ethosrennes,IDS,5.46
islnotredame,ADS,14.47
udssaarland,IDS,2.8926889896
babylabnijmegen,ADS,5.71
jmucdl,IDS,1.1
babylabnijmegen,ADS,1.34
weltentdeckerzurich,ADS,
callab,ADS,2.6322021484375
escompicbsleipzig,training,4.0
babylabplymouth,ADS,2.67
escompicbsleipzig,ADS,9.45
chosunbaby,IDS,6.69
weescienceedinburgh,training,6.79
bllumanitoba,ADS,4.367
infantllmadison,ADS,1.237
babylabbrookes,IDS,2.48
socialcogumiami,IDS,5.8
chosunbaby,ADS,2.688
lllliv,IDS,1.116
babylabprinceton,IDS,
babylabbrookes,IDS,17.55
infantcoglablouisville,ADS,13.448
trainorlab,training,6.256
babylabkingswood,IDS,7551.0
babylabshimane,ADS,9.76
babylabbrookes,IDS,2.13
purdueinfantspeech,ADS,3.05
lllliv,ADS,3.09
babylabprinceton,IDS,
babylabpotsdam,IDS,2.479
langlabucla,ADS,8.384
bchdosu,IDS,2.48
infantcogubc,IDS,5.72
babylabpotsdam,IDS,5.329
bchdosu,ADS,3.759
lcduleeds,ADS,2.912
dcnlabtennessee,IDS,2.568
babylingoslo,IDS,0.0
babylabshimane,training,12.73
bcrlunlv,IDS,
infantcogubc,ADS,10.4
infantllmadison,ADS,4.335
bchdosu,IDS,2.736
babylabpotsdam,ADS,16.343
islnotredame,ADS,2.035
kyotobabylab,ADS,3.43
babylablangessex,ADS,1.038
childlabmanchester,,
wsigoettingen,IDS,13.7
babylabbrookes,training,17.345
langlabucla,training,10.159
babylablangessex,IDS,14.218
cdcceu,ADS,2.724
islnotredame,IDS,3.569
bounbcl,IDS,3.44
babylabplymouth,ADS,3.65
ethosrennes,ADS,3.81
kokuhamburg,ADS,7.8
bcrlunlv,ADS,4.433
babylabvuw,Training,15.99
purdueinfantspeech,ADS,3.18
lppparisdescartes2,ADS,3440.0
lcduleeds,training,4.441
weescienceedinburgh,ADS,2.22
babylabbrookes,,
irlconcordia,training,0.0
babylabshimane,training,12.16
babylabvuw,IDS,18.001
lcduleeds,IDS,14.889
infantcogubc,IDS,0.0
babylabplymouth,training,7.41
purdueinfantspeech,IDS,17.83
ethosrennes,IDS,13.15
bounbcl,ADS,2.72
bllumanitoba,ADS,3.775
udssaarland,IDS,5.4350261688
infantstudiesubc,IDS,11.6116
babylabkingswood,ADS,3289.0
bchdosu,IDS,5.904
musdevutm,ADS,5.835
lcduleeds,ADS,0.0
