lab,trial_type,trial_num,lang1,age_days,subid_unique,method,trial_error,session_error,looking_time,total_trial_time
babylabyork,TRAIN,-2.0,English,184.0,babylabyork:eoi801,singlescreen,noerror,0.0,2.884800712846709,2.884800712846709
labunam,ADS,11.0,spanish,187.0,labunam:5665,eyetracking,noerror,0.0,8.613956859848546,9.65598726971718
weescienceedinburgh,ADS,12.0,English,184.0,weescienceedinburgh:mb19,singlescreen,noerror,0.0,2.6602595372658615,2.8903717578961645
langlabucla,IDS,2.0,English,334.0,langlabucla:mb928,hpp,noerror,0.0,2.589867085424487,2.813610696762703
babylablmu,IDS,5.0,German,435.0,babylablmu:55,eyetracking,noerror,0.0,0.09531017980432493,9.400216653174247
weescienceedinburgh,TRAIN,-1.0,English,187.0,weescienceedinburgh:mb02,singlescreen,noerror,0.0,2.0135687975291283,2.462149662665384
islnotredame,ADS,11.0,English,398.0,islnotredame:p21mb4,hpp,noerror,0.0,2.6940864940848237,2.8917596831710126
escompicbsleipzig,IDS,10.0,German,164.0,escompicbsleipzig:mb05,eyetracking,noerror,0.0,2.3749057545736716,2.8903717578961645
bchdosu,ADS,2.0,English,262.0,bchdosu:mb0020,singlescreen,noerror,0.0,2.055276914680538,2.4301864375877673
bchdosu,ADS,13.0,English,140.0,bchdosu:mb0015,singlescreen,noerror,0.0,2.4087452888224363,2.6550009800123946
weltentdeckerzurich,IDS,7.0,Swissgerman,447.0,weltentdeckerzurich:mb13087,eyetracking,noerror,0.0,1.6524974018945473,2.1016921506146558
ldlottawa,IDS,9.0,English,262.0,ldlottawa:mbms07,singlescreen,noerror,0.0,1.4484942121992403,2.3411613677722856
kyotobabylab,IDS,3.0,Japanese,214.0,kyotobabylab:kbl001,eyetracking,noerror,0.0,2.7750856024383683,3.044522437723423
weltentdeckerzurich,IDS,3.0,Swissgerman,430.0,weltentdeckerzurich:mb13077,eyetracking,noerror,0.0,1.5496879080283263,2.004179057179289
babylablmu,IDS,1.0,German,432.0,babylablmu:64,eyetracking,noerror,1.0,1.3506671834767394,9.67614770909051
bchdosu,IDS,10.0,English,446.0,bchdosu:mb0007,singlescreen,noerror,0.0,0.8206605008589049,1.4523161566618878
babylabnijmegen,IDS,2.0,Dutch,208.0,babylabnijmegen:ba0569,hpp,noerror,0.0,1.0577902941478545,6.1903154058531475
chosunbaby,IDS,9.0,Korean,300.0,chosunbaby:h02y01,hpp,error,0.0,1.6561306404260827,1.6561306404260827
babylabyork,TRAIN,-1.0,English,184.0,babylabyork:eoi801,singlescreen,noerror,0.0,2.884800712846709,2.884800712846709
infantcoglablouisville,ADS,1.0,English,356.0,infantcoglablouisville:234592,singlescreen,noerror,0.0,1.8870696490323797,1.8870696490323797
kokuhamburg,TRAIN,-2.0,German,196.0,kokuhamburg:mb22,eyetracking,error,0.0,1.4701758451005926,2.8903717578961645
chosunbaby,IDS,5.0,Korean,287.0,chosunbaby:h13y10,hpp,error,0.0,0.6805683983530852,0.6805683983530852
bounbcl,ADS,7.0,Turkish,400.0,bounbcl:mb107,singlescreen,noerror,0.0,1.601405740736836,2.012232791986386
ldlottawa,ADS,1.0,English,509.0,ldlottawa:mbms59,singlescreen,noerror,1.0,1.7298840655099674,2.4733121931003677
labunam,ADS,4.0,spanish,210.0,labunam:5701,eyetracking,noerror,0.0,5.7430031878094825,9.801842348773928
lppparisdescartes2,ADS,16.0,french,259.0,lppparisdescartes2:mb18pb,hpp,noerror,0.0,7.061334366910438,2.8903717578961645
unlvmusiclab,ADS,4.0,English,178.0,unlvmusiclab:run005,singlescreen,noerror,0.0,0.5469646703818639,2.1019366195072067
lppparisdescartes2,IDS,13.0,french,234.0,lppparisdescartes2:mb23lmm,hpp,noerror,0.0,7.368970402194793,2.8903717578961645
weltentdeckerzurich,IDS,4.0,Swissgerman,379.0,weltentdeckerzurich:mb13948,eyetracking,noerror,0.0,0.883767540168595,1.7817091333745536
musdevutm,ADS,16.0,English,233.0,musdevutm:mb33,hpp,noerror,0.0,2.1709946726064486,2.3102555992982654
pocdnorthwestern,TRAIN,2.0,English,429.0,pocdnorthwestern:mb5,eyetracking,noerror,0.0,2.5276595788536493,2.8967955256939675
baldwinlabuoregon,IDS,4.0,English,329.0,baldwinlabuoregon:mb12,singlescreen,noerror,0.0,1.005689340723698,1.5582489738644498
babylabyork,ADS,3.0,English,318.0,babylabyork:eoi913,singlescreen,noerror,0.0,2.2407096892759584,2.2407096892759584
lscppsl,IDS,7.0,french,385.0,lscppsl:32lscppsl,eyetracking,noerror,0.0,7.606387389772652,8.944811104165534
infantcogubc,IDS,6.0,English,205.0,infantcogubc:mk06,eyetracking,error,1.0,-11.512925464970229,-11.512925464970229
infantllmadison,ADS,10.0,English,302.0,infantllmadison:mb023,hpp,noerror,0.0,1.68621375123615,2.004044277207389
chosunbaby,IDS,3.0,Korean,435.0,chosunbaby:h71o23,hpp,noerror,0.0,0.6785410281705831,0.6785410281705831
babylableiden,IDS,14.0,Dutch,363.0,babylableiden:mb12b,hpp,noerror,0.0,0.3364722366212129,2.0014800002101243
babylablangessex,TRAIN,-1.0,English,386.0,babylablangessex:mb121510,eyetracking,noerror,0.0,1.0895715440159606,1.618199418102673
purdueinfantspeech,IDS,2.0,English,393.0,purdueinfantspeech:4285,hpp,noerror,0.0,2.77757626375082,2.8808824318750488
babylablangessex,ADS,11.0,English,370.0,babylablangessex:mb121513,eyetracking,noerror,0.0,0.1292723357041391,1.2086617938120676
infantlanglabutk,IDS,3.0,English,213.0,infantlanglabutk:mb1r71ms10,hpp,noerror,0.0,9.876064966958156,9.953752818683679
ethosrennes,ADS,9.0,french,202.0,ethosrennes:td272,eyetracking,noerror,0.0,1.7950872593207297,2.186051276738094
pocdnorthwestern,IDS,11.0,English,367.0,pocdnorthwestern:mb3,eyetracking,noerror,0.0,1.0712410918719777,1.6832458395788201
icclbc,ADS,3.0,English,244.0,icclbc:10,singlescreen,noerror,0.0,1.5612975371061655,2.28401370740861
islnotredame,ADS,11.0,English,384.0,islnotredame:p30mb13,hpp,noerror,0.0,0.014888612493750559,1.1052568313867783
earlysocogfm,IDS,8.0,english,267.0,earlysocogfm:s43,eyetracking,noerror,0.0,0.7884573603642703,1.5602476682433286
bchdosu,ADS,13.0,English,430.0,bchdosu:mb0062,singlescreen,noerror,0.0,0.5370779949100565,1.390286382389428
babylabnijmegen,ADS,6.0,Dutch,262.0,babylabnijmegen:ba1969,hpp,noerror,0.0,1.449269160281279,6.584791392385716
ldlottawa,TRAIN,-2.0,English,343.0,ldlottawa:mbms35,singlescreen,error,1.0,1.541373181519971,2.0023809455882775
udssaarland,IDS,13.0,German,258.0,udssaarland:6,singlescreen,noerror,0.0,0.8256462692357954,1.6972945550976923
irlconcordia,IDS,6.0,english,208.0,irlconcordia:mb6s05,eyetracking,noerror,0.0,1.2947271675944,2.278497297464956
musdevutm,ADS,9.0,English,237.0,musdevutm:mb10,hpp,noerror,0.0,1.6505798557652755,1.813357868780551
chosunbaby,IDS,9.0,Korean,377.0,chosunbaby:h82o31,hpp,noerror,0.0,2.227753782371042,2.3607596570451177
madlabucsd,ADS,11.0,English,197.0,madlabucsd:mb16,singlescreen,noerror,0.0,1.501852701754163,1.9329696377795786
udssaarland,IDS,4.0,German,300.0,udssaarland:56,singlescreen,noerror,0.0,2.5053021488173366,2.891148832917372
bchdosu,ADS,8.0,English,361.0,bchdosu:mb0006,singlescreen,noerror,0.0,0.6355180677233089,1.3581520551736102
infantllmadison,IDS,4.0,English,263.0,infantllmadison:mb007,hpp,noerror,0.0,2.172020722972929,2.6191461249962034
babylabplymouth,ADS,14.0,english,280.0,babylabplymouth:mb0901,hpp,noerror,0.0,0.6729444732424258,1.7316555451583497
cdcceu,IDS,10.0,Hungarian,402.0,cdcceu:mb30,eyetracking,error,0.0,0.29117596170603677,2.118261934330941
babylablmu,ADS,7.0,German,329.0,babylablmu:59,eyetracking,noerror,0.0,0.8754687373538999,9.623442907213558
bchdosu,IDS,5.0,English,236.0,bchdosu:mb0037,singlescreen,noerror,0.0,1.2675108251299236,1.7143383222594701
babylabutrecht,ADS,8.0,Dutch,357.0,babylabutrecht:1101,hpp,noerror,0.0,2.593529787302141,2.8903407018583755
babylabshimane,IDS,4.0,Japanese,143.0,babylabshimane:103,eyetracking,noerror,0.0,2.799108932049177,2.8903717578961645
weltentdeckerzurich,IDS,6.0,English (New Zealand),448.0,weltentdeckerzurich:mb13474,eyetracking,noerror,0.0,2.6837575085331657,2.8118094353930627
lscppsl,ADS,18.0,french,431.0,lscppsl:10lscppsl,eyetracking,error,1.0,8.000349495324684,8.536995818712418
infantlanglabutk,IDS,7.0,English,223.0,infantlanglabutk:mb1r74fs11,hpp,noerror,0.0,8.716535732544495,9.111955470054781
lscppsl,IDS,10.0,spanish,441.0,lscppsl:2lscppsl,eyetracking,noerror,0.0,-11.512925464970229,8.574895901544526
babylableiden,IDS,12.0,Dutch,341.0,babylableiden:mb01b,hpp,noerror,0.0,1.5085119938441398,1.9823798288367047
bllumanitoba,IDS,1.0,English,246.0,bllumanitoba:1793,hpp,noerror,0.0,2.300883646354288,2.6018745384875426
infantlanglabutk,IDS,4.0,English,217.0,infantlanglabutk:mb1r73fs12,hpp,noerror,0.0,9.305559638557117,9.569621915779866
langlabucla,ADS,9.0,English,300.0,langlabucla:mb909,hpp,error,1.0,0.4995624314872799,1.2991011494175133
escompicbsleipzig,ADS,6.0,German,141.0,escompicbsleipzig:mb18,eyetracking,noerror,0.0,2.740840023925201,2.8903717578961645
minddevlabbicocca,IDS,10.0,Italian,184.0,minddevlabbicocca:mb05,singlescreen,noerror,0.0,9.706925073451831,9.706925073451831
infantlanglabutk,IDS,10.0,English,213.0,infantlanglabutk:mb1r71ms1,hpp,noerror,0.0,9.84802769533176,9.953752818683679
irlconcordia,IDS,3.0,english,205.0,irlconcordia:mb6s18,eyetracking,noerror,1.0,2.057962510002712,2.441912158215145
purdueinfantspeech,IDS,16.0,English,313.0,purdueinfantspeech:4296,hpp,noerror,0.0,1.0367368849500223,1.5748464676644813
lscppsl,ADS,12.0,french,378.0,lscppsl:34lscppsl,eyetracking,noerror,0.0,-11.512925464970229,7.60339933974067
kyotobabylab,ADS,11.0,Japanese,366.0,kyotobabylab:kbl020,eyetracking,noerror,0.0,1.4011829736136412,3.044522437723423
babylabkonstanz,ADS,15.0,German,224.0,babylabkonstanz:mb10,hpp,noerror,0.0,1.682688374173693,2.066862759472976
kyotobabylab,TRAIN,-1.0,Japanese,290.0,kyotobabylab:kbl027,eyetracking,noerror,0.0,1.713797927758343,3.044522437723423
bllumanitoba,ADS,4.0,English,400.0,bllumanitoba:4165,hpp,noerror,0.0,1.4813772423665827,1.8573911426568845
